form,feature,data,slope,intercept,r_squared,max_abs_rel_residual,n
total,abs_400_nm,treatments_mg_per_gDW,4.068738146934841e-05,-0.05757456767052933,0.834640003372698,0.7919764722027459,30
total,ratio_abs_384_400,treatments_conc_mg_ml,-0.14813592336735262,0.2064153894283003,0.08835099624532294,5.115766611278956,30
total,ratio_abs_384_400,treatments_mg_per_gDW,-2.172482913164809,2.9984940377092166,0.10246830470294188,4.2076558786024245,30
total,auc_320_380,treatments_conc_mg_ml,4.458153721874782e-08,-0.0024919679976304924,0.8227377649104285,0.9359761423090368,30
total,auc_320_380,treatments_mg_per_gDW,5.362872160892512e-07,0.07766052381222449,0.6419960883224085,1.5879319018066231,30
total,auc_380_440,treatments_conc_mg_ml,5.7928348281043764e-08,-0.010655835578076884,0.9732193835320285,0.2714823960131464,30
total,auc_380_440,treatments_mg_per_gDW,7.255543776933471e-07,-0.0514603124505396,0.8232932064139437,0.6594394534630293,30
total,auc_ratio_320_380_over_380_440,treatments_conc_mg_ml,-0.048354954758592125,0.10726358415291787,0.10661474202457333,5.318930589432552,30
total,auc_ratio_320_380_over_380_440,treatments_mg_per_gDW,-0.7990762687121611,1.6476960142602204,0.15699936756194877,4.296028903455032,30
total,second_derivative_384,treatments_conc_mg_ml,1.9106964340358052e-05,0.05174669940070992,6.947393651701717e-05,6.211757992204874,30
total,second_derivative_384,treatments_mg_per_gDW,-0.002674064040611284,0.7250301243270548,0.007337840513568561,4.993846037696672,30
total,second_derivative_400,treatments_conc_mg_ml,-0.0008221548599256785,0.04665218207628129,0.10774656758469014,4.676858763613517,30
total,second_derivative_400,treatments_mg_per_gDW,-0.01157836544104519,0.658439705244026,0.11523299033465517,5.1379167856616705,30
oxidized,auc_320_480,treatments_conc_mg_ml,1.7412834453122888e-08,-0.016467918522270388,0.909474859798216,3.049668703837196,30
oxidized,auc_320_480,treatments_mg_per_gDW,2.356574864853326e-07,-0.20899050610097786,0.8486723636286009,3.0730854196813784,30
oxidized,abs_max,treatments_conc_mg_ml,2.0127370962249166e-06,-0.01448169748292195,0.892966223452095,2.9930690718588973,30
oxidized,abs_max,treatments_mg_per_gDW,2.7184234118189884e-05,-0.1809381037555127,0.82989080882304,3.101941893409746,30
oxidized,lambda_max_nm,treatments_conc_mg_ml,-6.683313382491414e-05,0.05476801080126595,0.011012506293055613,15.415008329037464,30
oxidized,lambda_max_nm,treatments_mg_per_gDW,-0.000949862677689632,0.7731158361462916,0.011333133023917474,10.996422822406416,30
oxidized,centroid_nm,treatments_conc_mg_ml,-0.0004249955381001739,0.19805096798911728,0.01336601044392971,13.539683982788533,30
oxidized,centroid_nm,treatments_mg_per_gDW,-0.006251686934467209,2.8940237943191094,0.014735107878588671,9.627114517897345,30
oxidized,fwhm_nm,treatments_conc_mg_ml,0.0002543220060663346,0.005415327870051087,0.031222038005243813,11.365574464777078,16
oxidized,fwhm_nm,treatments_mg_per_gDW,-0.0008884937332163044,0.7722189615474764,0.0020508696979997243,10.060079872072986,16
oxidized,abs_384_nm,treatments_conc_mg_ml,1.980982396148388e-06,-0.010689346964411383,0.959110087599869,2.3512189000525834,30
oxidized,abs_384_nm,treatments_mg_per_gDW,2.6934472401541286e-05,-0.13323537519731776,0.9033374043432598,1.7018510512540441,30
oxidized,abs_400_nm,treatments_conc_mg_ml,2.0721999010771666e-06,-0.012442215758166921,0.9527063857645556,2.3593261294132724,30
oxidized,abs_400_nm,treatments_mg_per_gDW,2.8134857624177667e-05,-0.15628643960400995,0.8947692358550652,2.408339231627452,30
oxidized,ratio_abs_384_400,treatments_conc_mg_ml,0.08402332644909938,-0.05553756140906196,0.05265222973519057,11.514274163392802,30
oxidized,ratio_abs_384_400,treatments_mg_per_gDW,1.2268795015513674,-0.8271909074270283,0.05719349909481286,8.085624352789818,30
oxidized,auc_320_380,treatments_conc_mg_ml,4.702944591978243e-08,-0.014133307940280788,0.9399275011619199,3.1753144429344857,30
oxidized,auc_320_380,treatments_mg_per_gDW,6.371686983590029e-07,-0.17801911624737937,0.8790008977211116,2.2864353635387014,30
oxidized,auc_380_440,treatments_conc_mg_ml,3.8846419966480905e-08,-0.01443436752960535,0.9352560981870899,3.036659256966102,30
oxidized,auc_380_440,treatments_mg_per_gDW,5.263753319858819e-07,-0.18217772551518552,0.8748738276460247,3.0574652181150435,30
oxidized,auc_ratio_320_380_over_380_440,treatments_conc_mg_ml,-0.05018962793998356,0.07075475855690157,0.061631732185949306,11.491294043601565,30
oxidized,auc_ratio_320_380_over_380_440,treatments_mg_per_gDW,-0.6912188957153944,0.9815933803052139,0.059557086809823745,8.128781155820182,30
oxidized,second_derivative_384,treatments_conc_mg_ml,-0.0008125096059687593,0.02249454961526967,0.17448945033316898,17.276234280122818,30
oxidized,second_derivative_384,treatments_mg_per_gDW,-0.011375011662394872,0.31564563851663857,0.1742375230876212,12.323535816849132,30
oxidized,second_derivative_400,treatments_conc_mg_ml,-0.0012011429561430945,0.01740424252873797,0.3628773515744803,14.763197142653034,30
oxidized,second_derivative_400,treatments_mg_per_gDW,-0.01638057318724325,0.2482971522131793,0.3438384780492214,10.458887611962025,30
reduced,auc_320_480,treatments_conc_mg_ml,3.1127888342461174e-08,-0.009105797803071476,0.9008041666359531,0.34428966380149006,30
reduced,auc_320_480,treatments_mg_per_gDW,3.792321199015557e-07,0.08465981582658795,0.7232060174466541,0.8852321185073055,30
reduced,abs_max,treatments_conc_mg_ml,1.1856560184874815e-06,0.053375013134641186,0.49209155722698394,2.5981633105916475,30
reduced,abs_max,treatments_mg_per_gDW,1.3662627704666974e-05,0.8748713274451568,0.35344162837503124,2.9034691609080756,30
reduced,lambda_max_nm,treatments_conc_mg_ml,0.00026904255866422284,0.008957867341614145,0.015024720939971425,3.957238383696115,30
reduced,lambda_max_nm,treatments_mg_per_gDW,0.005625009637300478,-0.46634321153746866,0.03552480675040792,3.9445278940214124,30
reduced,centroid_nm,treatments_conc_mg_ml,0.0005416775996403655,-0.11273999748379193,0.002836485017081225,3.9367056339079625,30
reduced,centroid_nm,treatments_mg_per_gDW,0.012505244809094596,-3.468425602005924,0.008177185966980915,3.8944190530178804,30
reduced,abs_384_nm,treatments_conc_mg_ml,4.714588935670454e-06,-0.012837493871433093,0.9630626209058752,0.33895329380479955,30
reduced,abs_384_nm,treatments_mg_per_gDW,5.8582789856465e-05,0.012443622397326612,0.8043178349693805,0.7942375156393462,30
reduced,abs_400_nm,treatments_conc_mg_ml,5.036222054882512e-06,-0.012770052214887697,0.960066147094968,0.41852788169135885,30
reduced,abs_400_nm,treatments_mg_per_gDW,6.283422608639348e-05,0.007709338015933035,0.8083597724437259,0.6571848605950252,30
reduced,ratio_abs_384_400,treatments_conc_mg_ml,-0.12663001478995806,0.23350364168226223,0.024271741221373877,3.562895632318264,30
reduced,ratio_abs_384_400,treatments_mg_per_gDW,-2.0971224025357067,3.6365088182479353,0.036007744168453204,3.5136720520401163,30
reduced,auc_320_380,treatments_conc_mg_ml,5.62656440795892e-08,0.005754366072716151,0.7925202749476938,1.005719209528492,30
reduced,auc_320_380,treatments_mg_per_gDW,6.734128692721548e-07,0.2853536243349141,0.6140551142397326,1.5039527123586343,30
reduced,auc_380_440,treatments_conc_mg_ml,9.33319982967022e-08,-0.015053771128045935,0.9590259224927793,0.41892238968763224,30
reduced,auc_380_440,treatments_mg_per_gDW,1.1616910873634354e-06,-0.017457444372426453,0.8036579946847852,0.5733812266305789,30
reduced,auc_ratio_320_380_over_380_440,treatments_conc_mg_ml,-0.030147354486973484,0.13860181222197923,0.020389863893121363,3.8150343409628857,30
reduced,auc_ratio_320_380_over_380_440,treatments_mg_per_gDW,-0.5980258239278854,2.200005877610739,0.04339868044678252,3.7523327334589323,30
reduced,second_derivative_384,treatments_conc_mg_ml,-0.0006002879847154143,0.09880455126547869,0.015517701388114924,4.513827085863514,30
reduced,second_derivative_384,treatments_mg_per_gDW,-0.013238031443075293,1.413806346115449,0.04082024835965958,4.807356639752784,30
reduced,second_derivative_400,treatments_conc_mg_ml,-0.0021690547993227505,0.08714017521466239,0.14339929340104474,4.0916271341033985,30
reduced,second_derivative_400,treatments_mg_per_gDW,-0.03154176231827478,1.2331736018159858,0.1640206805854817,4.131354365431571,30
