sample_id,form,conc_mg_ml,conc_se_mg_ml,amount_mg_per_gDW,amount_se_mg_per_gDW,loq_flag,dry_biomass_g,p_uva_mw_cm2,p_uvb_mw_cm2,uva_pct_mdv,uvb_pct_mdv
3C,oxidized,0.0812895164095494,0.005675344822617736,1.0985069785074244,0.07669384895429374,False,0.074,1.692,0.584,74.63279078999602,76.04166666666667
3C,reduced,0.07714844967011675,0.0015879588406900018,1.0425466171637399,0.021458903252567593,False,0.074,1.692,0.584,74.63279078999602,76.04166666666667
3C,total,0.07984684391944401,0.0037370299574515094,1.0790114043168109,0.0505004048304258,False,0.074,1.692,0.584,74.63279078999602,76.04166666666667
3D,oxidized,0.07401384154666585,0.005679831579888814,1.072664370241534,0.08231639970853352,False,0.069,1.692,0.584,74.63279078999602,76.04166666666667
3D,reduced,0.11013113235046931,0.0016601396396681083,1.5961033673981058,0.02405999477779867,False,0.069,1.692,0.584,74.63279078999602,76.04166666666667
3D,total,0.08666083056454617,0.003747877331505257,1.255954066152843,0.054317062775438504,False,0.069,1.692,0.584,74.63279078999602,76.04166666666667
3E,oxidized,0.005849931678011785,0.006976293352540839,0.07312414597514731,0.08720366690676049,False,0.08,1.692,0.584,74.63279078999602,76.04166666666667
3E,reduced,0.11543632694618686,0.001685931051682521,1.4429540868273356,0.021074138146031512,False,0.08,1.692,0.584,74.63279078999602,76.04166666666667
3E,total,0.04400311099584313,0.0039465538336526705,0.5500388874480391,0.04933192292065838,False,0.08,1.692,0.584,74.63279078999602,76.04166666666667
3H,oxidized,0.0020299263630532,0.0071021194281851085,0.03903704544333077,0.13657921977279056,False,0.052,1.692,0.584,74.63279078999602,76.04166666666667
3H,reduced,0.13112572026608027,0.0017822393273519285,2.5216484666553898,0.03427383321830632,False,0.052,1.692,0.584,74.63279078999602,76.04166666666667
3H,total,0.047009917801142165,0.003912633692592473,0.9040368807911955,0.07524295562677834,False,0.052,1.692,0.584,74.63279078999602,76.04166666666667
4A,oxidized,0.004105536187365956,0.007033233360894789,0.058650516962370794,0.10047476229849697,False,0.07,1.095,0.338,48.299589784305944,44.01041666666667
4A,reduced,0.09701208524943132,0.0016125985206655892,1.3858869321347331,0.02303712172379413,False,0.07,1.095,0.338,48.299589784305944,44.01041666666667
4A,total,0.03640317245199373,0.0040443160561343516,0.5200453207427675,0.05777594365906216,False,0.07,1.095,0.338,48.299589784305944,44.01041666666667
4B,oxidized,0.051480226379525755,0.005873606999393683,0.7250736109792361,0.08272685914638991,False,0.071,1.095,0.338,48.299589784305944,44.01041666666667
4B,reduced,0.08047961836975336,0.0015879749991845776,1.1335157516866672,0.022365845058937715,False,0.071,1.095,0.338,48.299589784305944,44.01041666666667
4B,total,0.06154642264402678,0.003789410472458388,0.8668510231553068,0.05337197848532941,False,0.071,1.095,0.338,48.299589784305944,44.01041666666667
4F,oxidized,0.06154914212300041,0.005754134624843494,0.769364276537505,0.07192668281054368,False,0.08,1.095,0.338,48.299589784305944,44.01041666666667
4F,reduced,0.07073286550785365,0.0015926306507011835,0.8841608188481707,0.019907883133764792,False,0.08,1.095,0.338,48.299589784305944,44.01041666666667
4F,total,0.06470465137477253,0.0037719868642359035,0.8088081421846567,0.04714983580294879,False,0.08,1.095,0.338,48.299589784305944,44.01041666666667
4G,oxidized,0.06407741153665797,0.005732356666408252,1.0335066376880317,0.09245736558722986,False,0.062,1.095,0.338,48.299589784305944,44.01041666666667
4G,reduced,0.06491360166836502,0.0016021802184696251,1.04699357529621,0.025841616426929438,False,0.062,1.095,0.338,48.299589784305944,44.01041666666667
4G,total,0.06431528070933813,0.0037739490424959668,1.0373432372473892,0.06087014584670914,False,0.062,1.095,0.338,48.299589784305944,44.01041666666667
4H,oxidized,0.009736179859703757,0.006852685613361919,0.13908828371005366,0.09789550876231312,False,0.07,1.095,0.338,48.299589784305944,44.01041666666667
4H,reduced,0.0955315658273706,0.001608752856069278,1.3647366546767228,0.02298218365813254,False,0.07,1.095,0.338,48.299589784305944,44.01041666666667
4H,total,0.0395614011827395,0.004001645479215488,0.5651628740391357,0.057166363988792684,False,0.07,1.095,0.338,48.299589784305944,44.01041666666667
5B,oxidized,0.016603357044398095,0.006645866669869933,0.2441670153587955,0.09773333338044018,False,0.068,0.647,0.246,28.53866172643465,32.03125
5B,reduced,0.10943199817894064,0.0016570138577546426,1.609294090866774,0.02436785084933298,False,0.068,0.647,0.246,28.53866172643465,32.03125
5B,total,0.04892071828892214,0.0038925323867277156,0.7194223277782666,0.05724312333423111,False,0.068,0.647,0.246,28.53866172643465,32.03125
5D,oxidized,0.036056678908435745,0.006151855028232385,0.5007872070616076,0.08544243094767201,False,0.072,0.647,0.246,28.53866172643465,32.03125
5D,reduced,0.087347583466535,0.001593275330451274,1.2131608814796528,0.022128824034045477,False,0.072,0.647,0.246,28.53866172643465,32.03125
5D,total,0.053881588989271645,0.0038457627071807926,0.7483554026287729,0.05341337093306657,False,0.072,0.647,0.246,28.53866172643465,32.03125
5E,oxidized,0.015245378276363679,0.006685539158731855,0.19297947185270478,0.08462707795863107,False,0.079,0.647,0.246,28.53866172643465,32.03125
5E,reduced,0.09475018057683857,0.0016068510499020101,1.1993693743903615,0.02033988670762038,False,0.079,0.647,0.246,28.53866172643465,32.03125
5E,total,0.042885472974688796,0.0039598634432309225,0.5428540882871999,0.05012485371178383,False,0.079,0.647,0.246,28.53866172643465,32.03125
5F,oxidized,0.023050996073114317,0.006466243737261146,0.33898523636932815,0.09509181966560508,False,0.068,0.647,0.246,28.53866172643465,32.03125
5F,reduced,0.14739087113899726,0.0019097055280433632,2.1675128108676067,0.028083904824167102,False,0.068,0.647,0.246,28.53866172643465,32.03125
5F,total,0.06644239823347055,0.0037638714903514897,0.9770940916686844,0.05535105132869837,False,0.068,0.647,0.246,28.53866172643465,32.03125
5I,oxidized,0.012937918418484073,0.006754355602995494,0.22306755893938057,0.11645440694819817,False,0.058,0.647,0.246,28.53866172643465,32.03125
5I,reduced,0.0602458529349236,0.0016134319932442015,1.0387216023262689,0.02781779298696899,False,0.058,0.647,0.246,28.53866172643465,32.03125
5I,total,0.029279131388119727,0.004150725515541231,0.5048126101399952,0.07156423302657294,False,0.058,0.647,0.246,28.53866172643465,32.03125
6C,oxidized,0.020003824203378567,0.006549297499620939,0.270321948694305,0.08850402026514784,False,0.074,0.0,0.0,0.0,0.0
6C,reduced,0.07860840632242662,0.0015877601460528613,1.0622757611138733,0.021456218189903533,False,0.074,0.0,0.0,0.0,0.0
6C,total,0.0403329319457299,0.00399165804167305,0.5450396208882419,0.05394132488747365,False,0.074,0.0,0.0,0.0,0.0
6D,oxidized,0.06945412421985112,0.00569733311264516,0.9782271016880439,0.08024412834711495,False,0.071,0.0,0.0,0.0,0.0
6D,reduced,0.06446122073384646,0.0016031318898354395,0.9079045173781192,0.022579322392048445,False,0.071,0.0,0.0,0.0,0.0
6D,total,0.0676681947728011,0.003758780236540247,0.9530731658141001,0.05294056671183447,False,0.071,0.0,0.0,0.0,0.0
6F,oxidized,0.0,0.007431213894784494,0.0,0.09650927136083759,False,0.077,0.0,0.0,0.0,0.0
6F,reduced,0.04122529091539359,0.0016906734035165379,0.5353933885116051,0.021956797448266726,False,0.077,0.0,0.0,0.0,0.0
6F,total,0.009298647797031812,0.0045161651823783285,0.12076165970171185,0.05865149587504323,False,0.077,0.0,0.0,0.0,0.0
6H,oxidized,0.0,0.007443133214309541,0.0,0.16180724378933783,False,0.046,0.0,0.0,0.0,0.0
6H,reduced,0.03573503139191845,0.0017216951167407118,0.7768485085199663,0.037428154711754605,False,0.046,0.0,0.0,0.0,0.0
6H,total,0.0071571091371425595,0.004560518654762726,0.15558932906831652,0.09914170988614622,False,0.046,0.0,0.0,0.0,0.0
6J,oxidized,0.0,0.007602497737810272,0.0,0.10707743292690525,False,0.071,0.0,0.0,0.0,0.0
6J,reduced,0.01922312728199132,0.0018356206795229792,0.27074827157734255,0.025853812387647595,False,0.071,0.0,0.0,0.0,0.0
6J,total,0.0,0.0047482912943385865,0.0,0.06687734217378291,False,0.071,0.0,0.0,0.0,0.0
